1,Buenos Aires,BA
2,Buenos Aires-GBA,BA
3,Capital Federal,CABA
4,Catamarca,CA
5,Chaco,CH
6,Chubut,CT
7,Córdoba,CB
8,Corrientes,CR
9,Entre Ríos,ER
10,Formosa,FO
11,Jujuy,JY
12,La Pampa,LP
13,La Rioja,LR
14,Mendoza,MZ
15,Misiones,MI
16,Neuquén,NQ
17,Río Negro,RN
18,Salta,SA
19,San Juan,SJ
20,San Luis,SL
21,Santa Cruz,SC
22,Santa Fe,SF
23,Santiago del Estero,SE
24,Tierra del Fuego,TF
25,Tucumán,TU
